"" ,"License ->Content in this spreadsheet is licensed under a Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International license. Details of the license can be seen here: https://creativecommons.org/licenses/by-nc-sa/4.0","Citation->Recommended citation: India Sand Watch, Veditum India Foundation. Accessed via http://sandwatch.envmonitoring.in on 4/12/2026",
"Title","Would you like to submit this report anonymously?","Date of Observation","Location","Are machines used in the process?","Can you specify types of machines/ equipment","Notes from the location","Pictures","State","District","River","Published Date"
"Chambal River - Morena, Madhya Pradesh - 14th March 2024","N/A","14-03-2024 18:30:00","Serial Number,Latitude,Longitude
,26.6115281,77.8639336
","Yes","JCB, tractors","Gharials, buffaloes seen very close to the site

- Long lines of tractors seen coming to the site, multiple JCBs mining sand and filling in the tractor.

- Seen from opposite bank

- 3 to 5 JCBs mining sand, 100 to 150 tractors seen within 30 - 40 mins","https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fimg_20240314_124140_1aa8fa48-87fc-49fb-936e-d30f938a35ae.jpeg?generation=1724847152212398&alt=media
https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fimg_20240314_124149_debe8e05-f964-4a30-99c0-7f5e820be6c4.jpeg?generation=1724847154113634&alt=media
https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fimg_20240314_124219_2d1f09a3-38e8-4559-ae03-dad87ac37a64.jpeg?generation=1724847155812972&alt=media
https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fimg_20240314_124226_452f64a4-5224-4ed6-bdb7-844c7507058d.jpeg?generation=1724847157515828&alt=media
https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fimg_20240314_124930_6602042e-b4a8-4814-9122-39a0db31facc.jpeg?generation=1724847159211416&alt=media
https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fwhatsapp_image_2024_08_28_at_17_f43c7997-27a9-4ad3-b1a0-d9618b439c04.jpeg?generation=1724846954703713&alt=media
https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fwhatsapp_image_2024_08_28_at_17_6cace369-3be2-4ce8-9ee3-33e841675ef6.jpeg?generation=1724846955198423&alt=media
https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fwhatsapp_image_2024_08_28_at_17_1bb1a1e3-f63c-4efc-b094-6b75ec31cd93.jpeg?generation=1724846955752374&alt=media
https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fwhatsapp_image_2024_08_28_at_17_d95d7e29-ebb7-402b-89f4-b14bd20af91b.jpeg?generation=1724846956296631&alt=media
https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fwhatsapp_image_2024_08_28_at_17_ec428c66-1458-4981-892d-aa976ca8d7b4.jpeg?generation=1724846956792920&alt=media","Madhya Pradesh","Morena","Chambal","28-08-2024"
"Chambal River - Morena, Madhya Pradesh - 13th March 2024","N/A","13-03-2024 18:30:00","Serial Number,Latitude,Longitude
1,26.6922078,78.0010645
","Yes","Tractors, JCBs","Seen from the opposite bank - 9-10 tractors loaded with sand, 1 JCB

Mugger crocodile and some gharial seen on sand bank","https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fimg_20240313_131405_7dab4f7c-75b0-4cc2-8ffb-a702fc028030.jpeg?generation=1724911617267407&alt=media
https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fimg_20240313_131808_a616286c-434b-45e3-823c-6ab055970748.jpeg?generation=1724911618858137&alt=media
https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fimg_20240313_131829_855ecb7e-9001-4d03-9527-cee41a7c4d0b.jpeg?generation=1724911620159196&alt=media
https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fimg_20240313_131833_d8249cea-cdc8-4b2e-8b77-44db9e298a27.jpeg?generation=1724911621658197&alt=media","Madhya Pradesh","Morena","Chambal","29-08-2024"
"Chambal River - Dholpur, Rajasthan - 15th March 2024","N/A","15-03-2024 18:30:00","Serial Number,Latitude,Longitude
,26.708826,78.091674
","No","N/A","Active mining not taking place, but marks of mining seen indicating very recent mining activity.

- Saw multiple deep pits and some shallow pits, tractor marks

- Saw soft egg shells (possibly of turtles or crocodiles) in same location

- Heard from the locals that mining was taking place until very recently, and stopped now because of change in authorities.","https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fimg_20240315_181935_e51640fa-c554-4951-a116-c72b2705824f.jpeg?generation=1724847708432802&alt=media
https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fwhatsapp_image_2024_08_28_at_17_83c5312b-71e7-4854-8fce-6e5b1f0f88b6.jpeg?generation=1724847657484683&alt=media
https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fwhatsapp_image_2024_08_28_at_17_006e3579-d606-4389-aada-ae380cd59b78.jpeg?generation=1724847575276055&alt=media
https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fwhatsapp_image_2024_08_28_at_17_2606e9f9-dd20-4e1c-bac9-12d84dc25ae0.jpeg?generation=1724847575894868&alt=media
https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fwhatsapp_image_2024_08_28_at_17_8a8134a7-17cc-41b1-b6e0-e4d0dd2ca3f8.jpeg?generation=1724847576386483&alt=media","Rajasthan","Dhaulpur","Chambal","28-08-2024"
"Chambal River - Morena, Madhya Pradesh - 15th March 2024","N/A","15-03-2024 18:30:00","Serial Number,Latitude,Longitude
1,26.6922078,78.0010645
","Yes","Tractors, JCBs","Seen from opposite bank, active mining using JCBs and tractors. Multiple crocodiles (muggers and gharial), turtles, and skimmers seen on instream sandbank.","https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fimg_20240315_170501_f5718321-5289-4b7d-b678-bbaa9c49bd5a.jpeg?generation=1724910201955950&alt=media
https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fimg_20240315_170532_ff2e385d-1eb4-45a5-a08e-9f7894dacd74.jpeg?generation=1724910202896915&alt=media","Madhya Pradesh","Morena","Chambal","29-08-2024"
"Chambal River - Dholpur, Rajasthan - 14th March 2024","N/A","14-03-2024 18:30:00","Serial Number,Latitude,Longitude
,26.6596200,77.9502040
","Yes","Tractors","Mining happening very close to the 2 bridges

Saw 5 - 6 tractors

Could see gharials, neelguy, crocodiles, many birds on the opposite bank","https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fwhatsapp_image_2024_08_28_at_17_46ea39e2-00a7-4bfd-b6e0-c4938fe6c565.jpeg?generation=1724848065493412&alt=media
https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fwhatsapp_image_2024_08_28_at_17_d20ec6eb-8b50-4927-b417-767d902110f6.jpeg?generation=1724848065984043&alt=media
https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fwhatsapp_image_2024_08_28_at_17_548bc8ba-92ef-48e7-9f90-c3faa7117179.jpeg?generation=1724848066478707&alt=media
https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fimg_20240314_182302_68671524-ae2e-40da-b6a1-fe19b490e570.jpeg?generation=1724847979066861&alt=media
https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fimg_20240314_182303_36ed82f3-c294-4934-97fd-b6f43cb83e56.jpeg?generation=1724847980587206&alt=media
https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fimg_20240314_182727_8fdd7a14-a6cf-47d7-bb70-380108ef6cf7.jpeg?generation=1724847982078076&alt=media","Rajasthan","Dhaulpur","Chambal","28-08-2024"
"Gad River - Sindhudurg, Maharashtra - 10th February 2024","N/A","10-02-2024 18:30:00","Serial Number,Latitude,Longitude
,16.127786,73.462497
","Yes","Boats","First observation. About 10 boats in a stretch. Taluka: Malvan","N/A","Maharashtra","Sindhudurg","Gad","29-08-2024"
"Gad River - Sindhudurg, Maharashtra - 15th March 2024","N/A","15-03-2024 18:30:00","Serial Number,Latitude,Longitude
,16.104036,73.4656
","Yes","Boats, Trucks","Boats (about 7-8 boats in a one km stretch). Trucks loading of sand from the boat, observed after sunset, downriver mining is more active at night, one km upriver/downriver from this point is usually the point on the river from where the boats can be observed. Taluka: Malvan","N/A","Maharashtra","Sindhudurg","Gad","29-08-2024"
"Gad River - Sindhudurg, Maharashtra - 12th April 2024","N/A","12-04-2024 18:30:00","Serial Number,Latitude,Longitude
,16.157017,73.470469
","Yes","Boats, trucks","Boats (not as many, 5 observed from the bridge), trucks (one truck was being loaded). Boats noted in broad daylight, trucks loading of sand from the boat","https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2F3gblr2_5463a83c-791d-4455-acb9-8c84db934657.jpeg?generation=1724915615991530&alt=media
https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2F3gblr3_eaab7d44-3dc2-43ec-be04-fabb15ed036b.jpeg?generation=1724915616638279&alt=media
https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2F3gblr4_2fa59769-f894-45cf-8e75-4f73e4c959af.jpeg?generation=1724915617133257&alt=media
https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2F3gblr1_4c49926b-a10d-402f-97c3-aae4c9b28b45.jpeg?generation=1724915605252832&alt=media","Maharashtra","Sindhudurg","Gad","29-08-2024"
"Gad River - Sindhudurg, Maharashtra - 12th April 2024","N/A","12-04-2024 18:30:00","Serial Number,Latitude,Longitude
,16.150592,73.458183
","Yes","Trucks","Trucks (a very busy road, 4-5 trucks every 10 mins). Trucks unloading of sand from the trucks or going towards a loading site, not very sure of the activity, but a huge number of trucks were active here. Goa number plate vehicles. Taluka: Malvan","N/A","Maharashtra","Sindhudurg","Gad","29-08-2024"
"Gad River -  Sindhudurg, Maharashtra - April 2024","N/A","26-04-2024 18:30:00","Serial Number,Latitude,Longitude
,16.008992,73.605536
","Yes","Boats","Boats were docked, didn't observe any active ones. Taluka: Malvan","N/A","Maharashtra","Sindhudurg","Karli","29-08-2024"
"Mahananda River - Kishanganj, Bihar - 16th Nov 2021","N/A","16-11-2021 18:30:00","Serial Number,Latitude,Longitude
,26.44877804,88.23448302
","Yes","Rafts","sand mining, 1 raft, Data from WCT","N/A","Bihar","Kishanganj","Mahananda","13-09-2024"
"Mahananda River - Kishanganj, Bihar - 16th Nov 2021","N/A","16-11-2021 18:30:00","Serial Number,Latitude,Longitude
,26.44677401,88.23098601
","Yes","Rafts","Sand Mining, 1 Raft, Data from WCT","N/A","Bihar","Kishanganj","Mahananda","13-09-2024"
"Mahananda River - Kishanganj, Bihar - 16th Nov 2021","N/A","16-11-2021 18:30:00","Serial Number,Latitude,Longitude
,26.44535503,88.229618
","Yes","Rafts","Sand Mining, 1 Raft, Data from WCT","N/A","Bihar","Kishanganj","Mahananda","13-09-2024"
"Mahananda River - Kishanganj, Bihar - 16th Nov 2021","N/A","16-11-2021 18:30:00","Serial Number,Latitude,Longitude
,26.444644,88.22908902
","Yes","Rafts","Sand Mining, 1 Raft, Data from WCT","N/A","Bihar","Kishanganj","Mahananda","13-09-2024"
"Mahananda River - Kishanganj, Bihar - 16th Nov 2021","N/A","16-11-2021 18:30:00","Serial Number,Latitude,Longitude
,26.44168904,88.22719697
","Yes","Rafts","Sand Mining, 1 Raft, Data from WCT","N/A","Bihar","Kishanganj","Mahananda","13-09-2024"
"Mahananda River - Darjeeling, West Bengal - 16th November 2021","N/A","16-11-2021 18:30:00","Serial Number,Latitude,Longitude
,26.47227997,88.259186
","Yes","JCB, Tractors","Huge Sand Mining area, Data from WCT","N/A","West Bengal","Darjiling / Darjeeling","Mahananda","13-09-2024"
"Mahananda River - Darjeeling, West Bengal - 16th November 2021 ","N/A","16-11-2021 18:30:00","Serial Number,Latitude,Longitude
,26.46991803,88.25588303
","Yes","JCB, Tractors","Huge Sand Mining area, Data from WCT","N/A","West Bengal","Darjiling / Darjeeling","Mahananda","13-09-2024"
"Mahananda River - Darjeeling, West Bengal - 16th November 2021","N/A","16-11-2021 18:30:00","Serial Number,Latitude,Longitude
,26.46885403,88.25479799
","Yes","JCB, Tractors","Huge Sand Mining area, Data from WCT","N/A","West Bengal","Darjiling / Darjeeling","Mahananda","13-09-2024"
"Ghaghra River - Bahraich, Uttar Pradesh - 22nd May 2023","N/A","22-05-2023 18:30:00","Serial Number,Latitude,Longitude
,27.27556301,81.42106502
","Yes","Dredger","Dredging, Data from WCT","N/A","Uttar Pradesh","Bahraich","Ghaghra","13-09-2024"
"Ghaghra River - Bahraich, Uttar Pradesh - 22nd May 2023","N/A","22-05-2023 18:30:00","Serial Number,Latitude,Longitude
,27.2837,81.42375302
","Yes","Dredger","Dredging, Data from WCT","N/A","Uttar Pradesh","Bahraich","Ghaghra","13-09-2024"
"Ghaghra River - Bahraich, Uttar Pradesh - 22nd May 2023","N/A","22-05-2023 18:30:00","Serial Number,Latitude,Longitude
,27.18936503,81.48582696
","Yes","Dredger","Dredging, Data from WCT","N/A","Uttar Pradesh","Bahraich","Ghaghra","09-09-2024"
"Gandak River - Paschim Champaran, Bihar - 12th November 2017","N/A","12-11-2017 18:30:00","Serial Number,Latitude,Longitude
,27.43596003,83.89735096
","Yes","Boats","Sand and Pebble Mining, Data from WCT","N/A","Bihar","Pashchim Champaran","Gandak","13-09-2024"
"Gandak River - Paschim Champaran, Bihar - 12th November 2017","N/A","12-11-2017 18:30:00","Serial Number,Latitude,Longitude
,27.42278301,83.86529898
","Yes","Boats","Sand and Pebble Mining, Data from WCT","N/A","Bihar","Pashchim Champaran","Gandak","09-09-2024"
"Gandak River - Paschim Champaran, Bihar - 14th January 2010","N/A","14-01-2010 18:30:00","Serial Number,Latitude,Longitude
,27.1296833,84.0359667
","Yes","Tractor","Sand Mining and Excavation, Data from WCT","N/A","Bihar","Pashchim Champaran","Gandak","09-09-2024"
"Gandak River - Paschim Champaran, Bihar - 14th January 2010","N/A","14-01-2010 18:30:00","Serial Number,Latitude,Longitude
,27.1164333,84.06825
","Yes","Tractor","Sand Mining and Excavation, Data from WCT","N/A","Bihar","Pashchim Champaran","Gandak","10-09-2024"
"Mahananda River - Katihar, Bihar - 23rd November 2011","N/A","23-11-2021 18:30:00","Serial Number,Latitude,Longitude
,25.43078198,87.76643001
","Yes","JCB, Tractors","Sand Mining, Data from WCT","N/A","Bihar","Katihar","Mahananda","09-09-2024"
"Mahananda River - Bihar, Katihar - 23rd November 2021","N/A","23-11-2021 18:30:00","Serial Number,Latitude,Longitude
,25.42959896,87.76606799
","Yes","JCB, Tractors","Sand Mining, Data from WCT","N/A","Bihar","Katihar","Mahananda","09-09-2024"
"Mahananda River - Katihar, Bihar - 23rd November 2021","N/A","23-11-2021 18:30:00","Serial Number,Latitude,Longitude
,25.428958,87.76604502
","Yes","JCB, Tractors","Sand Mining, Data from WCT","N/A","Bihar","Katihar","Mahananda","09-09-2024"
"Ghaghra River - Saran, Bihar - 31st May 2023","N/A","31-05-2023 18:30:00","Serial Number,Latitude,Longitude
,25.81360697,84.59808804
","Yes","JCB","1 JCB used in this Location, Data from WCT","N/A","Bihar","Saran","Ghaghra","09-09-2024"
"Ghaghra River - Saran, Bihar - 31st May 2023","N/A","31-05-2023 18:30:00","Serial Number,Latitude,Longitude
,25.76894903,84.64371803
","Yes","JCB","1 JCB used in this Location, Data from WCT","N/A","Bihar","Saran","Ghaghra","09-09-2024"
"Ghaghra River - Saran, Bihar - 31st May 2023","N/A","31-05-2023 18:30:00","Serial Number,Latitude,Longitude
,25.76380799,84.65214402
","Yes","JCB","1 JCB used in this Location, Data from WCT","N/A","Bihar","Saran","Ghaghra","09-09-2024"
"Mahananda River - Darjeeling, West Bengal - 16th November 2021","N/A","16-11-2021 18:30:00","Serial Number,Latitude,Longitude
,26.49476401,88.30712898
","Yes","Rafts","Sand Mining, Data from WCT","N/A","West Bengal","Darjiling / Darjeeling","Mahananda","09-09-2024"
"Mahananda River - Darjeeling, West Bengal - 16th November 2021","N/A","16-11-2021 18:30:00","Serial Number,Latitude,Longitude
,26.49205397,88.30668901
","Yes","Rafts","Sand Mining, Data from WCT","N/A","West Bengal","Darjiling / Darjeeling","Mahananda","09-09-2024"
"Ghaghra River - Azamgarh, Uttar Pradesh - 28th May 2023","N/A","28-05-2023 18:30:00","Serial Number,Latitude,Longitude
,26.26009,83.42750003
","Yes","JCB","1 JCB at the Location, Data from WCT","N/A","Uttar Pradesh","Azamgarh","Ghaghra","09-09-2024"
"Ghaghra River - Azamgarh, Uttar Pradesh - 28th May 2023","N/A","28-05-2023 18:30:00","Serial Number,Latitude,Longitude
,26.25990702,83.42935796
","Yes","JCB","1 JCB at the Location, Data from WCT","N/A","Uttar Pradesh","Azamgarh","Ghaghra","09-09-2024"
"Ghaghra - Ballia, Uttar Pradesh - 31st May 2023","N/A","31-05-2023 18:30:00","Serial Number,Latitude,Longitude
,25.87584402,84.43231696
","Yes","JCB","2 JCB at the Location, Data from WCT","N/A","Uttar Pradesh","Ballia","Ghaghra","03-09-2024"
"Ghaghra River - Ballia, Uttar Pradesh - 31st May 2023","N/A","31-05-2023 18:30:00","Serial Number,Latitude,Longitude
,25.877048,84.44393604
","Yes","JCB","2 JCB at the Location, Data from WCT","N/A","Uttar Pradesh","Ballia","Ghaghra","03-09-2024"
"Ghaghra River - Ballia, Uttar Pradesh - 31st May 2023","N/A","31-05-2023 18:30:00","Serial Number,Latitude,Longitude
,25.864062,84.49459702
","Yes","JCB","1 JCB at the Location, Data from WCT","N/A","Uttar Pradesh","Ballia","Ghaghra","03-09-2024"
"Ghaghra River - Ballia, Uttar Pradesh - 31st May 2023","N/A","31-05-2023 18:30:00","Serial Number,Latitude,Longitude
,25.85141203,84.49539598
","Yes","JCB","1\ JCB at the Location, Data from WCT","N/A","Uttar Pradesh","Ballia","Ghaghra","03-09-2024"
"Ghaghra River - Ballia, Uttar Pradesh - 31st May 2023","N/A","31-05-2023 18:30:00","Serial Number,Latitude,Longitude
,25.82478901,84.581514
","Yes","JCB","1 JCB at the Location, Data from WCT","N/A","Uttar Pradesh","Ballia","Ghaghra","03-09-2024"
"Gandak River - Gopalganj, Bihar - 21st Jan 2010","N/A","21-01-2010 18:30:00","Serial Number,Latitude,Longitude
,26.4087333,84.7380833
","Yes","JCB","Sand Mining and Excavation, Data from WCT","N/A","Bihar","Gopalganj","Gandak","03-09-2024"
"Gandak River - Gopalganj, Bihar - 21st Jan 2010","N/A","21-01-2010 18:30:00","Serial Number,Latitude,Longitude
,26.3625667,84.7453333
","Yes","JCB","Sand Mining and Excavation, Data from WCT","N/A","Bihar","Gopalganj","Gandak","03-09-2024"
"Gandak River - Muzaffarpur, Bihar - 22nd Jan 2010","N/A","22-01-2010 18:30:00","Serial Number,Latitude,Longitude
,26.30325,84.8243333
","Yes","JCB","Sand Mining and Excavation, Data from WCT","N/A","Bihar","Muzaffarpur","Gandak","03-09-2024"
"Gandak River - Muzaffarpur, Bihar - 22nd Jan 2021","N/A","22-01-2010 18:30:00","Serial Number,Latitude,Longitude
,26.2968333,84.8268667
","Yes","JCB","Sand Mining and Excavation, Data from WCT","N/A","Bihar","Muzaffarpur","Gandak","03-09-2024"
"Mahananda - Kishanganj, Bihar - 18th Nov 2021","N/A","18-11-2021 18:30:00","Serial Number,Latitude,Longitude
,26.24630604,87.9450
","Yes","JCB, Tractors","Sand Mining large area, Data from WCT","N/A","Bihar","Kishanganj","Mahananda","03-09-2024"
"Mahananda River - Kishanganj, Bihar - 18th Nov 2021","N/A","18-11-2021 18:30:00","Serial Number,Latitude,Longitude
,26.24535997,88.00239902
","Yes","JCB, Tractors","Sand Mining large area, Data from WCT","N/A","Bihar","Kishanganj","Mahananda","03-09-2024"
"Mahananda River - Kishanganj, Bihar - 18th Nov 2021","N/A","18-11-2021 18:30:00","Serial Number,Latitude,Longitude
,26.24476897,88.00136201
","Yes","JCB, Tractors","Sand Mining large area, Data from WCT","N/A","Bihar","Kishanganj","Mahananda","03-09-2024"
"Mahananda River - Kishanganj, Bihar - 18th Nov 2021","N/A","18-11-2021 18:30:00","Serial Number,Latitude,Longitude
,26.24328,88.00054796
","Yes","JCB, Tractors","Sand Mining large area, Data from WCT","N/A","Bihar","Kishanganj","Mahananda","03-09-2024"
